sensor_image,object_label,pose_x,pose_y,pose_z,pose_Rx,pose_Ry,pose_Rz,shear_x,shear_y,shear_z,shear_Rx,shear_Ry,shear_Rz,object_x,object_y,object_z,object_Rx,object_Ry,object_Rz,Fx,Fy,Fz,Tx,Ty,Tz
data/sensor_images/image_5.png,surface,0.0,0.0,1.644399249658465,-20.27031637250139,-14.901495146805775,0.0,4.309617907476879,-2.150828415354235,0.0,0.0,0.0,4.285810286143088,0,0,0,0,0,0,-0.1735996647687703,-0.0568540117424206,2.578999611320651,-0.020732005718202,-0.040855166229695,-0.0664253546015359
data/sensor_images/image_6.png,surface,0.0,0.0,1.4422942543311217,-3.807868537565665,-18.557526505758226,0.0,-2.2685656050298766,-4.174570004669555,0.0,0.0,0.0,-1.615972050989256,0,0,0,0,0,0,-0.4187591767252288,0.1208529884127795,1.8836170218932764,-0.0095841491323411,0.0326291630626046,0.0394656478188978
data/sensor_images/image_7.png,surface,0.0,0.0,2.255837823639391,-7.983755235587202,-1.077082401626235,0.0,-1.959386120258052,-2.6174848187484976,0.0,0.0,0.0,-4.269496618760251,0,0,0,0,0,0,-0.2193778910640197,0.6663287281388004,2.6090917842325085,0.0265913957265762,0.0549685460170584,0.0225611209666455
data/sensor_images/image_8.png,surface,0.0,0.0,1.018310262574879,-0.1132036725983801,24.66153600374604,0.0,-0.0208888462841729,-3.573472554295123,0.0,0.0,0.0,2.609887513280196,0,0,0,0,0,0,0.7941461315980255,0.0656993645791216,1.2781144231782189,0.0338589607914311,0.0055537000843003,-0.0724471805030275
data/sensor_images/image_9.png,surface,0.0,0.0,0.6856988486918119,-3.199183970967947,0.93896024419064,0.0,3.8181454389540153,-0.0420538331066471,0.0,0.0,0.0,-1.3781987349491942,0,0,0,0,0,0,0.1699837835241972,0.4587510351286583,1.2898401719118502,-0.0222005539192648,0.0202825802276162,0.0384925616147648
data/sensor_images/image_10.png,surface,0.0,0.0,1.415066562797631,14.088849842047868,10.830767083512486,0.0,-2.9879754901764377,3.857494024402413,0.0,0.0,0.0,2.824177634068011,0,0,0,0,0,0,-0.0630822609796783,0.3927092044556682,1.2864863184096007,0.0016838000008803,0.0230864697964715,-0.08161685026248
data/sensor_images/image_11.png,surface,0.0,0.0,1.351588361804919,8.592631556144894,-20.502929337128503,0.0,1.9061152604630105,-1.8402288147875376,0.0,0.0,0.0,-0.3138517874712594,0,0,0,0,0,0,-0.5831140970982205,0.5251072109524164,1.9026681429823784,-0.0062845024443346,-0.0021475156403262,0.0387609787690907
data/sensor_images/image_12.png,surface,0.0,0.0,0.8013102576954108,24.055523522111805,5.39003670298014,0.0,4.091681318458496,1.7725058316293527,0.0,0.0,0.0,-4.641188985185406,0,0,0,0,0,0,-0.3066196047703846,0.4071509265627417,0.8311448949507949,-0.0086687317906304,-0.0173400523619959,0.0369325584406071
data/sensor_images/image_13.png,surface,0.0,0.0,2.636405739615957,-6.393561783743511,-2.913000791634501,0.0,-4.659973771164856,1.6319143713032211,0.0,0.0,0.0,0.9014184759561674,0,0,0,0,0,0,-1.240344476055575,-0.8516866318541177,3.8819454064364143,-0.0246940398543517,0.1137394142460274,-0.0703188660522625
data/sensor_images/image_14.png,surface,0.0,0.0,2.1703694702705203,-22.839224936877446,2.924359702777029,0.0,-3.392018092959677,-0.2704539657502512,0.0,0.0,0.0,4.098952737847636,0,0,0,0,0,0,-1.091483295226862,-0.0837704702961825,3.062972210243261,-0.0108581147586456,0.0123384896038363,-0.0733687397268505
data/sensor_images/image_15.png,surface,0.0,0.0,0.5644779087239213,-3.0284654875834915,-2.3515020208490944,0.0,-3.270048863326468,2.6680071766161544,0.0,0.0,0.0,2.811346178251184,0,0,0,0,0,0,-0.2699672841251075,-0.129421085664887,1.0372474349703782,-0.0060234943590168,0.0130728101106311,-0.0683123342083444
data/sensor_images/image_16.png,surface,0.0,0.0,1.8503988927694623,-7.537647805308697,-1.226162019614683,0.0,-1.235682233647511,1.021703925003376,0.0,0.0,0.0,3.022623711153363,0,0,0,0,0,0,-0.7683944733091773,-0.7075236039483603,1.9190657122463568,-0.0175415751979923,0.0223450767877796,-0.0900218166951931
data/sensor_images/image_17.png,surface,0.0,0.0,0.8845079673754295,18.07110597269069,0.3248165475990786,0.0,-2.4407556835698285,-1.9291040327272069,0.0,0.0,0.0,0.0156688541486635,0,0,0,0,0,0,-0.5545869129229819,0.3546874030928054,1.0969598830433456,0.0101357190331118,0.0332146681892745,-0.0700124417924405
